agricultrendstotalyield.country,agricultrendstotalyield.totalyield
Denmark,3.245156295E9
Netherlands,2.254496393E9
Guyana,1.20099287E9
Fiji,8.36370774E8
Spain,7.07848024E8
United States of America,6.65042749E8
Israel,6.32214403E8
New Zealand,6.24189464E8
United Kingdom of Great Britain and Northern Ireland,6.03582655E8
Greece,5.78380599E8
Switzerland,5.60070612E8
France,5.53813592E8
Japan,5.42373812E8
Australia,5.33239867E8
Egypt,5.32028242E8
Portugal,5.27660504E8
China,5.08355525E8
Italy,4.85514381E8
Mexico,4.78247199E8
Cyprus,4.42868527E8
Turkey,4.25149399E8
Lebanon,4.2383454E8
Republic of Korea,4.17708861E8
Peru,4.10669367E8
Germany,4.09900739E8
Austria,3.96364701E8
South Africa,3.94523794E8
Colombia,3.78271943E8
Morocco,3.72485283E8
Ireland,3.66708044E8
Chile,3.61606812E8
Norway,3.56074294E8
Kuwait,3.5430866E8
Sweden,3.52248978E8
Iran (Islamic Republic of),3.41627818E8
Jordan,3.30206592E8
Finland,3.29260686E8
Bulgaria,3.10071951E8
Venezuela (Bolivarian Republic of),3.08245663E8
Lithuania,3.03386154E8
Costa Rica,3.00381322E8
Brazil,2.96291867E8
Syrian Arab Republic,2.94794152E8
Argentina,2.94337578E8
Belgium,2.8485159E8
Romania,2.84673229E8
India,2.84253962E8
Canada,2.84111859E8
Guatemala,2.830337E8
Ecuador,2.77972265E8
United Arab Emirates,2.75693709E8
Indonesia,2.7541848E8
Iceland,2.70293073E8
Hungary,2.58098924E8
Algeria,2.56071125E8
Dominican Republic,2.54339846E8
Thailand,2.52643203E8
Jamaica,2.49214192E8
Pakistan,2.49012951E8
Panama,2.48489271E8
Kenya,2.45560974E8
El Salvador,2.40987153E8
Mauritius,2.40639979E8
Tunisia,2.33330133E8
Honduras,2.29430712E8
Malaysia,2.27819454E8
Philippines,2.2583421E8
Mali,2.13046359E8
Poland,2.09992515E8
Malawi,2.09469865E8
Bahrain,1.95525824E8
Iraq,1.93948324E8
Paraguay,1.93846583E8
Nicaragua,1.90324752E8
Cuba,1.84429213E8
Bolivia (Plurinational State of),1.82839893E8
Albania,1.82827235E8
Burkina Faso,1.77367879E8
Uruguay,1.76802095E8
Slovenia,1.7590629E8
Democratic Republic of the Congo,1.75772853E8
Antigua and Barbuda,1.75586996E8
Trinidad and Tobago,1.73332184E8
Libya,1.7297172E8
Suriname,1.71123014E8
Bangladesh,1.68505334E8
Zimbabwe,1.6698459E8
Madagascar,1.58847135E8
Belize,1.56796666E8
Senegal,1.52919638E8
C?te d'Ivoire,1.5287846E8
Saudi Arabia,1.52128164E8
Malta,1.50641643E8
Viet Nam,1.50513646E8
Yemen,1.46430528E8
Uzbekistan,1.4622745E8
Sri Lanka,1.45832399E8
Papua New Guinea,1.42220723E8
Haiti,1.41552454E8
Democratic People's Republic of Korea,1.41136694E8
Oman,1.3879167E8
Saint Vincent and the Grenadines,1.37787141E8
Cabo Verde,1.35770345E8
Eswatini,1.34631265E8
Barbados,1.34415789E8
United Republic of Tanzania,1.34067213E8
Niger,1.23488087E8
Qatar,1.2087975E8
Afghanistan,1.20614263E8
Congo,1.18864438E8
Ghana,1.18436632E8
Nigeria,1.17356688E8
Cameroon,1.13665744E8
Zambia,1.11560938E8
Lao People's Democratic Republic,1.08781352E8
Samoa,1.08266546E8
Croatia,1.08019537E8
Solomon Islands,1.07632583E8
Somalia,1.05545682E8
Dominica,1.0400108E8
North Macedonia,1.03586416E8
Grenada,1.02389747E8
Nepal,1.02078135E8
Czechia,9.8966129E7
Mozambique,9.8212971E7
Bahamas,9.5717288E7
Benin,9.5091136E7
Myanmar,9.4014798E7
Saint Kitts and Nevis,9.2546137E7
Kazakhstan,9.0490805E7
Cambodia,8.9963925E7
Azerbaijan,8.9611728E7
Chad,8.8611934E7
Ukraine,8.8227876E7
Tonga,8.6593794E7
Slovakia,8.6109465E7
Kyrgyzstan,8.4767475E7
Angola,8.2674787E7
Rwanda,8.1330546E7
Armenia,8.1270946E7
Ethiopia,8.0181012E7
Burundi,7.9958346E7
Tajikistan,7.8172173E7
Uganda,7.781218E7
Guinea,7.4875545E7
Sierra Leone,7.4516713E7
Luxembourg,7.4188231E7
Russian Federation,7.27397E7
Seychelles,7.2485376E7
Gabon,7.0527595E7
Singapore,7.0181028E7
Saint Lucia,6.8442874E7
Liberia,6.7044915E7
Maldives,6.6589418E7
Togo,6.5568362E7
Vanuatu,6.4501368E7
Guinea-Bissau,6.2687364E7
Belarus,6.2343791E7
Bhutan,6.1264118E7
Timor-Leste,6.0257526E7
Turkmenistan,6.0106248E7
Brunei Darussalam,5.8589426E7
Republic of Moldova,5.6080678E7
Bosnia and Herzegovina,5.5316752E7
Latvia,5.4688546E7
Central African Republic,5.2403617E7
Estonia,5.073461E7
Sao Tome and Principe,4.9210294E7
Namibia,4.9081095E7
Georgia,4.772539E7
Kiribati,4.4564639E7
Comoros,4.2532657E7
Montenegro,4.0208198E7
Botswana,3.670652E7
Mongolia,3.278702E7
Lesotho,3.2528195E7
Mauritania,3.0424388E7
Serbia,2.6802406E7
Gambia,2.4282569E7
Equatorial Guinea,2.0060956E7
Nauru,1.5587313E7
Faroe Islands?,1.4432476E7
Tuvalu,1.4314938E7
Micronesia (Federated States of),1.3895138E7
Eritrea,9436369.0
Djibouti,8347707.0
Sudan,5206755.0
Marshall Islands,1275382.0
